[26-Feb-2026 18:30:20 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:20 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:20 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:23 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:23 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:23 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:23 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:23 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[26-Feb-2026 18:30:23 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/app/http/controllers/ConsultasController.php on line 512
[01-Mar-2026 08:29:52 America/Lima] PHP Notice:  Undefined variable: row in /var/www/html/factura_santodomingo/app/http/controllers/VentasController.php on line 212
[01-Mar-2026 09:18:06 America/Lima] PHP Notice:  Undefined index: HTTP_ACCEPT in /var/www/html/factura_santodomingo/utils/Tools.php on line 54
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 32
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 33
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 36
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: va in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 93
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: txta in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 96
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined offset: 0 in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/CssManager.php on line 1743
[01-Mar-2026 09:18:28 America/Lima] PHP Notice:  Undefined index: direction in /var/www/html/factura_santodomingo/utils/lib/mpdf/vendor/mpdf/mpdf/src/Tag/Td.php on line 233
